DisseminationArea,Primary Cluster,Secondary Cluster
35200002,A,1
35200003,B,2
35200004,C,1
35200005,C,1
35200006,C,1
35200007,C,1
35200009,C,1
35200010,C,1
35200012,C,1
35200013,C,1
35200018,A,1
35200028,C,3
35200029,C,1
35200030,C,1
35200031,C,1
35200032,C,4
35200033,C,4
35200034,C,4
35200035,C,1
35200036,C,1
35200037,C,1
35200039,C,1
35200041,C,1
35200042,C,2
35200043,C,4
35200044,A,1
35200046,C,1
35200047,C,3
35200048,A,1
35200049,C,1
35200050,A,1
35200051,C,1
35200052,C,1
35200053,C,1
35200054,C,4
35200055,C,1
35200056,C,4
35200057,B,2
35200058,A,1
35200062,C,1
35200064,B,2
35200065,B,2
35200066,B,2
35200067,C,4
35200068,B,2
35200069,B,2
35200070,B,2
35200071,C,1
35200072,B,2
35200073,B,2
35200074,B,2
35200078,B,2
35200079,A,1
35200080,C,4
35200082,B,2
35200085,B,2
35200086,B,2
35200087,C,1
35200088,B,2
35200089,B,2
35200090,C,4
35200091,B,2
35200092,C,1
35200093,B,2
35200094,D,1
35200095,C,1
35200096,B,2
35200097,A,1
35200099,B,2
35200100,B,2
35200101,C,1
35200102,A,1
35200103,B,2
35200104,B,2
35200105,B,2
35200106,B,2
35200107,B,2
35200108,A,1
35200109,B,2
35200110,B,2
35200111,B,2
35200112,B,2
35200114,B,2
35200115,B,2
35200116,A,1
35200117,B,2
35200118,B,2
35200119,B,2
35200120,C,1
35200121,B,2
35200123,B,2
35200124,C,1
35200125,B,2
35200126,B,2
35200127,C,1
35200128,C,1
35200133,C,1
35200134,B,2
35200135,C,1
35200136,A,1
35200137,C,1
35200138,B,2
35200139,C,4
35200140,C,4
35200141,B,2
35200142,B,2
35200143,B,2
35200144,B,2
35200145,C,1
35200146,C,1
35200147,B,2
35200148,C,4
35200149,B,2
35200150,C,3
35200161,A,1
35200162,C,1
35200163,B,2
35200164,B,3
35200165,B,2
35200166,B,2
35200167,C,1
35200173,B,2
35200174,B,2
35200175,B,2
35200176,B,2
35200177,C,4
35200178,B,2
35200179,B,3
35200180,C,1
35200181,C,1
35200182,A,2
35200183,C,4
35200186,B,2
35200187,B,2
35200188,C,1
35200189,B,2
35200190,B,2
35200193,B,2
35200196,B,2
35200197,B,2
35200198,B,2
35200199,B,2
35200200,B,2
35200201,B,2
35200202,B,2
35200203,B,2
35200204,A,1
35200205,C,1
35200206,B,2
35200207,B,3
35200208,B,2
35200209,C,1
35200210,B,2
35200211,B,2
35200212,B,2
35200213,B,2
35200214,B,2
35200215,B,2
35200216,B,2
35200217,B,2
35200218,C,4
35200219,B,2
35200220,B,2
35200221,C,3
35200222,C,4
35200223,C,4
35200224,B,2
35200232,C,4
35200233,B,2
35200234,B,2
35200235,C,4
35200236,C,1
35200237,B,2
35200238,C,1
35200239,C,1
35200242,A,1
35200243,B,2
35200244,B,2
35200245,C,4
35200246,B,2
35200249,A,3
35200250,B,2
35200251,B,2
35200252,B,2
35200253,C,1
35200254,B,2
35200255,B,2
35200256,C,2
35200260,B,2
35200261,B,2
35200262,B,2
35200263,B,2
35200264,B,2
35200265,B,2
35200266,B,2
35200267,A,3
35200268,A,3
35200269,B,2
35200271,C,3
35200272,A,3
35200273,A,3
35200275,B,2
35200278,B,3
35200279,B,2
35200280,A,1
35200281,A,3
35200284,A,3
35200288,B,2
35200289,B,2
35200290,B,2
35200291,B,2
35200292,C,1
35200293,B,2
35200294,B,2
35200297,A,2
35200298,C,1
35200300,C,3
35200301,B,2
35200302,B,2
